Young, Inter, difensore, 16
Zaccagni, Verona, centrocampista, 23
Zajc, Genoa, centrocampista, 13
Zanellato, Crotone, centrocampista, 7
Zaniolo, Roma, centrocampista, 25
Zapata C, Genoa, difensore, 7
Zapata D, Atalanta, attaccante, 38
Zappa, Cagliari, difensore, 8
Zappacosta, Genoa, difensore, 13
Zaza, Torino, attaccante, 12
Zeegelaar, Udinese, difensore, 9
Zielinski, Napoli, centrocampista, 24
Zima, Genoa, portiere, 1
Zoet, Spezia, portiere, 8
